text,amount,category,payment_method,payment_provider,bank_account,text_source
Rapido recharge of 3715 using credit card.,3715,travel,card,,,english
card se gas bill ko 2287 transfer kiya,2287,utilities,CARD,,,hinglish
  NPS purchase of 26573 via amazon pay   ,26573,investment,upi,amazonpay,,ocr_receipt
Paid checkup 22342 from IDFC,22342,healthcare,unknown,,idfc,ocr_upi
Monthly BookMyShow subscription 105 by cash,105,entertainment,cash,,,english
3426 deducted for Flipkart on MobiKwik,3426,shopping,upi,mobikwik,,ocr_upi
tuition fees 5583.78 diya Paytm se,5583.78,education,upi,paytm,,voice
  Yatra for 1714 on bhim   ,1714,travel,upi,bhim,,ocr_receipt
IndiGo se 4659 ka recharge karaya.,4659,travel,unknown,,,english
Visa se car loan EMI ka 39528 bheja,39528,emi,card,,,english
Had to pay lab test 2293 using Mastercard from Bandhan.,2293,healthcare,card,,bandhan,english
Netmeds se medicine li 22885 ka mobikwik kiya,22885,healthcare,upi,mobikwik,,hinglish
installment ka EMI 38160.04 auto debit hogaya,38160.04,emi,card,,,hinglish
"   flatmate owes me 4438 for lunch, paid via Phone Pe   ",4438,friends,upi,NA,,english
Rapido travel expense 1194 deducted from Canara,1194,travel,unknown,,canara,hinglish
Indian Oil recharge 6912 through card,6912,travel,card,,,ocr_receipt
IndiGo me 13131.52 ka payment ho gaya debit card se,13131.52,travel,card,,,voice
  Chipped in 883 for Sneha's gift via bhim   ,883,friends,upi,bhim,,english
aaj broadband pay kiya 3833.70 from Kotak,3833.70,utilities,unknown,,kotak,voice
Phone Pe se concert ko 1966.57 pay kiya,1966.57,entertainment,upi,None,,english
JioCinema pe movie dekhne ka 154 spend kiya,154,entertainment,unknown,,,hinglish
NA,2313,food,upi,cred,,hinglish
phonepe se DTH recharge ka 1159 bhar diya,1159,utilities,upi,nan,,voice
Coursera course 41045.65 by cash,41045.65,education,cash,,,english
1460.60 paid to Pizza Hut by PhonePe,1460.60,food,upi,phonepe,,ocr_receipt
Priya ko 4093.43 bheje PayTM se.,4093.43,friends,upi,None,,ocr_upi
"Meesho se 22498.32 ka maal aaya, Google Pay se pay kiya",22498.32,shopping,upi,gpay,,hinglish
H&M purchase for 13335 using Mastercard,13335,shopping,card,,,ocr_upi
"2380 debited for Starbucks order, gpay",2380,food,upi,gpay,,ocr_upi
Direct cash se dhaba ko 1863 transfer kiya khane ka,1863,food,cash,,,hinglish
Debited 35277 for home loan EMI via Mastercard,35277,emi,card,,,ocr_upi
Groww investment of 15166 done,15166,investment,unknown,,,ocr_upi
"metro me 3412 pay kiya, mode debit card.",3412,travel,card,,,english
installment ka bill 13874.15 clear kiya card ke through,13874.15,emi,card,,,voice
"Yaar, restaurant ka bill 1691.23 aaya, cash se clear kiya",1691.23,food,cash,,,hinglish
Blinkit 1153.25 wala order cash se kiya,1153.25,food,cash,,,english
electronics store ko 15985 transfer kiye Niyo card se,15985,shopping,card,,niyo,hinglish
paid 13393 for RedBus via Mastercard upi,13393,travel,card,,,voice
"flatmate ka birthday treat, 5121 contribute kiya cash",5121,friends,cash,,,hinglish
bhai brother ko cash diya 4788.56 wapas,4788.56,friends,cash,,,voice
education loan EMI for 24149 done by Mastercard,24149,emi,card,,,voice
fees 50381.53 books ko diya cash,50381.53,education,cash,,,voice
coaching material 31449 through credit card,31449,education,card,,,english
"Myntra order paid, 1233.43 deducted via Visa",1233.43,shopping,card,,,hinglish
i paid 24045 to MedPlus using cash,24045,healthcare,cash,,,voice
paid 29848 for monthly PPF from ICICI Bank account,--,investment,unknown,,icici,voice
bhai education loan EMI ka installment 1977 pay kiya Kotak se,1977,emi,unknown,,kotak,voice
i did RedBus booking for 12474 with gpay,12474,travel,upi,gpay,,voice
index fund pe 13277 lagaya yaar,13277,investment,unknown,,,hinglish
"Goibibo me 8662 pay kiya, mode Phone Pe.",8662,travel,upi,phonepe,,english
   MakeMyTrip 14524 cash payment  ,14524,travel,cash,,,ocr_receipt
21777 spent on Coursera using cash,21777,education,cash,,,english
sister ke liye 3399 ka bill GPay se clear kiya.,3399,friends,upi,gpay,,ocr_upi
Charged 16055 to Nykaa from account using amazon pay,16055,shopping,upi,amazonpay,,english
dentist payment 20676.68 via CRED,20676.68,healthcare,upi,cred,,ocr_receipt
main Jio recharge ka 1936 bheja Visa se,null,utilities,card,,,voice
stationery course 8435 by amazon pay,8435,education,upi,amazonpay,,english
"Priya paid the bill, so sent my half of 9857 via mobikwik",9857,friends,upi,mobikwik,,english
MakeMyTrip ke liye 9130 ka payment phonepe se kiya.,9130,travel,upi,phonepe,,english
"Flipkart se 18065 ka maal aaya, card se pay kiya",18065,shopping,card,,,hinglish
Bewakoof 28586.26 paid with cash from Punjab National Bank,28586.26,shopping,cash,,pnb,voice
Steam movie tickets 456 bhim,456,entertainment,upi,bhim,,english
   Ola travel expense 2868.51 deducted from Bank of Baroda  ,2868.51,travel,unknown,,bob,hinglish
  aaj food court se snack liya 1255 ka upi se ,1255,food,unknown,,,voice
DTH recharge ke liye 3248.49 paytm kara,3248.49,utilities,upi,paytm,,voice
nan,2653,friends,cash,,,voice
Khana Biryani Blues 516 paid by Paytm,516,food,upi,paytm,,ocr_upi
   eye clinic ke liye 15164.48 spent from IDFC card  ,15164.48,healthcare,card,,idfc,voice
food court 1045 UPI cash,1045,food,cash,,,ocr_receipt
